Par: 1.0, Flag: 0, Time: 62.8966
Par: 2.7825594022071245, Flag: 0, Time: 127.1943
Par: 7.742636826811269, Flag: 0, Time: 191.7413
Par: 21.544346900318832, Flag: 0, Time: 261.7528
Par: 59.94842503189409, Flag: 0, Time: 331.2449
Par: 166.81005372000593, Flag: 0, Time: 409.6994
Par: 464.15888336127773, Flag: 0, Time: 487.2623
Par: 1291.5496650148827, Flag: 0, Time: 565.5227
Par: 3593.813663804626, Flag: 0, Time: 646.1341
Par: 10000.0, Flag: 0, Time: 724.8669
