Par: 2100.0, Flag: 0, Time: 116.4756
Par: 2200.0, Flag: 0, Time: 208.6027
Par: 2300.0, Flag: 0, Time: 308.8877
Par: 2400.0, Flag: 0, Time: 407.3532
Par: 2500.0, Flag: 0, Time: 506.6984
Par: 2600.0, Flag: 0, Time: 601.4137
Par: 2700.0, Flag: 0, Time: 694.3816
Par: 2800.0, Flag: 0, Time: 794.8207
Par: 2900.0, Flag: 0, Time: 892.2453
Par: 3000.0, Flag: 0, Time: 988.7802
Par: 3100.0, Flag: 0, Time: 1082.3125
Par: 3200.0, Flag: 0, Time: 1180.4947
Par: 3300.0, Flag: 0, Time: 1281.1340
Par: 3400.0, Flag: 0, Time: 1391.6776
Par: 3500.0, Flag: 0, Time: 1490.2482
Par: 3600.0, Flag: 0, Time: 1583.9466
Par: 3700.0, Flag: 0, Time: 1680.9159
Par: 3800.0, Flag: 0, Time: 1775.6142
Par: 3900.0, Flag: 0, Time: 1869.9292
Par: 4000.0, Flag: 0, Time: 1969.3985
